name, lat (degrees), lon (degrees), alt (feet), trk (degrees), gs (knots), vs (f/m), time (s)
TRAF3, 37.02487610, -76.59142624, 753.78190000, 44.74462038, 34.20853983, 0.00000000, 70.0
TRAF2, 37.01981576, -76.59095270, 656.36590000, -153.70408134, 29.99998901, 0.00000000, 70.0
TRAF1, 37.02275575, -76.59268390, 656.36590000, 117.39226793, 29.99962385, 0.00000000, 70.0
TRAF3, 37.02498870, -76.59128607, 753.78190000, 46.25535106, 34.99997803, 0.00000000, 71.0
TRAF2, 37.01968400, -76.59100571, 656.36590000, -170.68089879, 29.99998901, 0.00000000, 71.0
TRAF1, 37.02275575, -76.59268390, 656.36590000, 117.39226793, 29.99962385, 0.00000000, 71.0
TRAF3, 37.02498870, -76.59128607, 753.78190000, 46.25535106, 34.99997803, 0.00000000, 72.0
TRAF2, 37.01954564, -76.59100822, 656.36590000, 172.34228377, 29.99998901, 0.00000000, 72.0
TRAF1, 37.02271092, -76.59251993, 656.36590000, 100.41524384, 29.99962385, 0.00000000, 72.0
TRAF3, 37.02508476, -76.59112329, 753.78190000, 60.80691268, 34.99997803, 0.00000000, 73.0
TRAF2, 37.01941271, -76.59096002, 656.36590000, 155.36546632, 29.99998901, 0.00000000, 73.0
TRAF1, 37.02270627, -76.59234670, 656.36590000, 83.43821974, 29.99962385, 0.00000000, 73.0
TRAF3, 37.02514508, -76.59093551, 753.62144231, 75.35847429, 34.99997803, -87.06709124, 74.0
TRAF2, 37.01929682, -76.59086531, 656.36590000, 138.38864887, 29.99998901, 0.00000000, 74.0
TRAF1, 37.02274220, -76.59217933, 656.36590000, 66.46119565, 29.99962385, 0.00000000, 74.0
TRAF3, 37.02516579, -76.59073476, 748.92835638, 89.91003591, 34.99997803, -437.91371005, 75.0
TRAF2, 37.01910404, -76.59062494, 656.36590000, 134.94941844, 26.89988335, 0.00000000, 75.0
TRAF1, 37.02281558, -76.59203238, 656.36590000, 49.48417156, 29.99962385, 0.00000000, 75.0
TRAF3, 37.02514558, -76.59053394, 741.62979455, 104.46159753, 34.99997803, -437.91371005, 76.0
TRAF2, 37.01910404, -76.59062494, 656.36590000, 134.94941844, 26.89988335, 0.00000000, 76.0
TRAF1, 37.02292003, -76.59191868, 656.36590000, 32.50714746, 29.99962385, 0.00000000, 76.0
TRAF3, 37.02501655, -76.59016299, 727.03267088, 115.72155760, 34.12057255, -437.91371005, 77.0
TRAF2, 37.01893446, -76.59041219, 656.36590000, 134.95041077, 25.85214852, 0.00000000, 77.0
TRAF1, 37.02304642, -76.59184813, 656.36590000, 15.53012337, 29.99962385, 0.00000000, 77.0
TRAF3, 37.02501655, -76.59016299, 727.03267088, 115.72155760, 34.12057255, -437.91371005, 78.0
TRAF2, 37.01884991, -76.59030610, 656.36590000, 134.95047464, 25.85214852, 0.00000000, 78.0
TRAF1, 37.02318376, -76.59182688, 656.36590000, -1.44690073, 29.99962385, 0.00000000, 78.0
TRAF3, 37.02489085, -76.58983619, 712.43554721, 115.72232996, 30.37668281, -437.91371005, 79.0
TRAF2, 37.01876535, -76.59020001, 656.36590000, 134.95053852, 25.85214852, 0.00000000, 79.0
TRAF1, 37.02332006, -76.59185679, 656.36590000, -18.42392482, 29.99962385, 0.00000000, 79.0
TRAF3, 37.02482982, -76.58967749, 705.13698538, 115.72242552, 30.37668281, -437.91371005, 80.0
TRAF2, 37.01868079, -76.59009393, 656.36590000, 134.95060239, 25.85214852, 0.00000000, 80.0
TRAF1, 37.02357477, -76.59196680, 656.36590000, -19.03194996, 26.25117085, 0.00000000, 80.0
TRAF3, 37.02476878, -76.58951880, 697.83842354, 115.72252108, 30.37668281, -437.91371005, 81.0
TRAF2, 37.01859623, -76.58998784, 656.36590000, 134.95066626, 25.85214852, 0.00000000, 81.0
TRAF1, 37.02357477, -76.59196680, 656.36590000, -19.03194996, 26.25117085, 0.00000000, 81.0
TRAF3, 37.02470774, -76.58936011, 690.53986171, 115.72261664, 30.37668281, -437.91371005, 82.0
TRAF2, 37.01851167, -76.58988175, 656.36590000, 134.95073013, 25.85214852, 0.00000000, 82.0
TRAF1, 37.02379609, -76.59206243, 656.36590000, -19.03248945, 25.21632383, 0.00000000, 82.0
TRAF3, 37.02464671, -76.58920141, 683.24129987, 115.72271219, 30.37668281, -437.91371005, 83.0
TRAF2, 37.01842712, -76.58977567, 656.36590000, 134.95079400, 25.85214852, 0.00000000, 83.0
TRAF1, 37.02390645, -76.59211012, 656.36590000, -19.03251816, 25.21632383, 0.00000000, 83.0
TRAF3, 37.02458567, -76.58904272, 675.94273804, 115.72280775, 30.37668280, -437.91371005, 84.0
TRAF2, 37.01834256, -76.58966958, 656.36590000, 134.95085787, 25.85214852, 0.00000000, 84.0
TRAF1, 37.02401681, -76.59215780, 656.36590000, -19.03254688, 25.21632383, 0.00000000, 84.0
TRAF3, 37.02452093, -76.58887849, 668.64417621, 119.54556767, 35.00010080, -437.91371005, 85.0
TRAF2, 37.01825800, -76.58956350, 656.36590000, 134.95092174, 25.85214852, 0.00000000, 85.0
TRAF1, 37.02412717, -76.59220548, 656.36590000, -19.03257559, 25.21632383, 0.00000000, 85.0
TRAF3, 37.02452093, -76.58887849, 668.64417621, 119.54556767, 35.00010080, -437.91371005, 86.0
TRAF2, 37.01817344, -76.58945741, 656.36590000, 134.95098561, 25.85214852, 0.00000000, 86.0
TRAF1, 37.02423753, -76.59225317, 656.36590000, -19.03260430, 25.21632383, 0.00000000, 86.0
TRAF3, 37.02442408, -76.58871646, 661.34561437, 134.09707824, 35.00010080, -437.91371005, 87.0
TRAF2, 37.01808888, -76.58935133, 656.36590000, 134.95104949, 25.85214852, 0.00000000, 87.0
TRAF1, 37.02434789, -76.59230085, 656.36590000, -19.03263302, 25.21632383, 0.00000000, 87.0
TRAF3, 37.02429783, -76.58859010, 654.08670685, 148.64858881, 35.00010080, -394.63054869, 88.0
TRAF2, 37.01838629, -76.58972445, 656.36590000, 134.95078851, 29.28239045, 0.00000000, 88.0
TRAF1, 37.02445825, -76.59234854, 656.36590000, -19.03266173, 25.21632383, 0.00000000, 88.0
